iter	Passed	Remaining
926	212676	16748
927	212927	16520
928	213139	16289
929	213320	16056
930	213515	15824
931	213699	15591
932	213898	15360
933	214085	15128
934	214262	14895
935	214460	14663
936	214624	14430
937	214828	14199
938	215000	13967
939	215186	13735
940	215362	13503
941	215552	13271
942	215733	13040
943	215914	12808
944	216076	12575
945	216276	12345
946	216460	12114
947	216653	11883
948	216909	11656
949	217117	11427
950	217306	11196
951	217478	10965
952	217695	10736
953	217875	10505
954	218026	10273
955	218214	10043
956	218409	9813
957	218584	9583
958	218772	9353
959	218950	9122
960	219122	8892
961	219323	8663
962	219515	8434
963	219702	8204
964	219888	7975
965	220129	7747
966	220326	7518
967	220509	7289
968	220696	7060
969	220890	6831
970	221066	6602
971	221271	6374
972	221441	6144
973	221613	5915
974	221809	5687
975	221993	5458
976	222175	5230
977	222348	5001
978	222541	4773
979	222721	4545
980	222900	4317
981	223073	4088
982	223255	3860
983	223428	3632
984	223609	3405
985	223796	3177
986	223984	2950
987	224163	2722
988	224369	2495
989	224528	2267
990	224707	2040
991	224897	1813
992	225086	1586
993	225274	1359
994	225451	1132
995	225618	906
996	225808	679
997	226035	452
998	226215	226
999	226455	0
